"customerid","country","monetary_value","last_purchase_date","frequency","customer_segment","avg_transaction_value"
"15498","United Kingdom","13316.40","2011-12-07 12:48:00","27","High value","493.20"
"12477","Germany","13219.74","2011-11-17 09:51:00","6","High value","2203.29"
"17735","United Kingdom","13110.02","2011-12-07 16:47:00","19","High value","690.00"
"16525","United Kingdom","13027.45","2011-12-07 15:07:00","26","High value","501.06"
"14258","United Kingdom","12669.98","2011-11-30 15:27:00","9","High value","1407.78"
"13078","United Kingdom","12627.94","2011-12-06 15:36:00","26","High value","485.69"
"12536","France","12601.83","2011-10-27 14:20:00","3","High value","4200.61"
"15640","United Kingdom","12515.66","2011-12-05 14:35:00","15","High value","834.38"
"16000","United Kingdom","12393.70","2011-12-07 12:17:00","3","High value","4131.23"
"17340","United Kingdom","12353.29","2011-11-10 10:45:00","11","High value","1123.03"
"12682","France","12288.22","2011-12-06 10:00:00","31","High value","396.39"
"13113","United Kingdom","12245.96","2011-12-09 12:49:00","24","High value","510.25"
"14606","United Kingdom","12156.65","2011-12-08 19:28:00","93","High value","130.72"
"12557","Spain","11990.96","2011-11-23 16:59:00","5","High value","2398.19"
"12939","United Kingdom","11581.80","2011-10-06 14:33:00","8","High value","1447.73"
"15125","United Kingdom","11528.48","2011-11-14 13:57:00","15","High value","768.57"
"14194","United Kingdom","11349.52","2011-12-05 10:38:00","21","High value","540.45"
"12971","United Kingdom","11189.91","2011-12-06 12:20:00","86","High value","130.12"
"14895","United Kingdom","11138.71","2011-12-02 09:23:00","20","High value","556.94"
"12409","Switzerland","11072.67","2011-09-22 10:38:00","3","High value","3690.89"
"15482","United Kingdom","11054.96","2011-11-24 10:46:00","12","High value","921.25"
"17581","United Kingdom","11045.04","2011-12-09 12:21:00","25","High value","441.80"
"13319","United Kingdom","10845.55","2011-12-04 13:34:00","26","High value","417.14"
"17107","United Kingdom","10815.43","2011-11-06 14:14:00","6","High value","1802.57"
"13340","United Kingdom","10736.48","2011-10-25 13:15:00","7","High value","1533.78"
"14769","United Kingdom","10674.75","2011-12-07 10:24:00","8","High value","1334.34"
"17139","United Kingdom","10668.47","2011-11-24 10:12:00","12","High value","889.04"
"16779","United Kingdom","10629.72","2011-12-07 14:54:00","22","High value","483.17"
"17865","United Kingdom","10526.32","2011-11-09 12:08:00","20","High value","526.32"
"17706","United Kingdom","10504.49","2011-12-05 13:34:00","17","High value","617.91"
"15251","United Kingdom","10484.99","2011-11-30 15:02:00","11","High value","953.18"
"14062","United Kingdom","10464.85","2011-11-30 10:04:00","12","High value","872.07"
"15615","United Kingdom","10399.74","2011-11-29 14:42:00","23","High value","452.16"
"15502","United Kingdom","10384.93","2011-11-24 12:48:00","12","High value","865.41"
"16180","United Kingdom","10254.18","2011-08-31 16:28:00","8","High value","1281.77"
"16843","United Kingdom","10196.57","2011-10-28 09:06:00","16","High value","637.29"
"12590","Germany","9864.26","2011-05-12 14:52:00","2","High value","4932.13"
"13001","United Kingdom","9818.82","2011-12-05 14:51:00","13","High value","755.29"
"13199","United Kingdom","9817.12","2011-12-06 12:30:00","38","High value","258.35"
"15078","United Kingdom","9743.11","2011-12-02 15:41:00","32","High value","304.47"
"12709","Germany","9736.52","2011-11-24 15:38:00","15","High value","649.10"
"13458","United Kingdom","9646.57","2011-12-02 15:29:00","14","High value","689.04"
"14733","United Kingdom","9585.91","2011-11-23 15:39:00","12","High value","798.83"
"16523","United Kingdom","9418.47","2011-12-08 09:06:00","21","High value","448.50"
"12567","France","9401.28","2011-11-17 11:02:00","10","High value","940.13"
"14367","United Kingdom","9261.52","2011-12-01 13:19:00","16","High value","578.85"
"14667","United Kingdom","9241.20","2011-11-29 11:30:00","25","High value","369.65"
"18092","United Kingdom","9068.26","2011-12-07 13:14:00","11","High value","824.39"
"13969","United Kingdom","9053.94","2011-12-02 15:11:00","18","High value","503.00"
"12451","Switzerland","9035.52","2011-11-29 08:40:00","5","High value","1807.10"
"13488","United Kingdom","8968.31","2011-11-22 14:41:00","13","High value","689.87"
"13090","United Kingdom","8910.82","2011-12-01 12:39:00","14","High value","636.49"
"16033","United Kingdom","8816.40","2011-12-04 12:44:00","20","High value","440.82"
"17017","United Kingdom","8694.26","2011-12-07 09:32:00","20","High value","434.71"
"17243","United Kingdom","8676.85","2011-12-08 13:26:00","26","High value","333.73"
"17306","United Kingdom","8631.31","2011-11-29 12:14:00","19","High value","454.28"
"16656","United Kingdom","8625.80","2011-11-17 14:43:00","15","High value","575.05"
"14527","United Kingdom","8508.82","2011-12-07 12:19:00","55","High value","154.71"
"12683","France","8476.57","2011-12-05 16:31:00","15","High value","565.10"
"18139","United Kingdom","8438.34","2011-11-22 10:44:00","6","High value","1406.39"
"15358","United Kingdom","8347.20","2011-12-05 09:04:00","22","High value","379.42"
"16558","United Kingdom","8338.49","2011-12-09 10:20:00","20","High value","416.92"
"14056","United Kingdom","8214.65","2011-12-08 13:36:00","23","High value","357.16"
"14936","Channel Islands","8137.02","2011-11-06 10:30:00","8","High value","1017.13"
"16672","United Kingdom","8134.94","2011-12-07 16:29:00","20","High value","406.75"
"13854","United Kingdom","8109.52","2011-12-01 09:06:00","25","High value","324.38"
"14952","United Kingdom","8099.49","2011-10-11 10:33:00","11","High value","736.32"
"18109","United Kingdom","8052.97","2011-12-08 11:36:00","26","High value","309.73"
"14796","United Kingdom","8022.49","2011-12-08 15:31:00","17","High value","471.91"
"12428","Finland","7956.46","2011-11-14 08:22:00","9","High value","884.05"
"15290","United Kingdom","7943.22","2011-12-05 11:39:00","18","High value","441.29"
"14849","United Kingdom","7930.54","2011-11-18 10:58:00","25","High value","317.22"
"12757","Portugal","7857.10","2011-11-24 12:30:00","13","High value","604.39"
"17811","United Kingdom","7837.73","2011-12-05 13:46:00","39","High value","200.97"
"13093","United Kingdom","7832.47","2011-03-09 12:14:00","8","High value","979.06"
"12435","Denmark","7829.89","2011-09-21 09:06:00","2","High value","3914.95"
"13629","United Kingdom","7792.36","2011-11-16 13:21:00","11","High value","708.40"
"15044","United Kingdom","7700.23","2011-11-20 13:20:00","17","High value","452.95"
"15194","United Kingdom","7616.53","2011-12-06 15:10:00","15","High value","507.77"
"18172","United Kingdom","7561.68","2011-11-25 11:12:00","20","High value","378.08"
"13263","United Kingdom","7454.07","2011-12-08 13:59:00","35","High value","212.97"
"12474","Germany","7375.79","2011-11-22 14:39:00","18","High value","409.77"
"12980","United Kingdom","7374.90","2011-07-05 09:34:00","9","High value","819.43"
"15465","United Kingdom","7354.62","2011-11-20 10:11:00","18","High value","408.59"
"17396","United Kingdom","7330.80","2011-10-31 14:12:00","8","High value","916.35"
"12583","France","7281.38","2011-12-07 08:07:00","15","High value","485.43"
"13018","United Kingdom","7277.70","2011-11-23 13:28:00","28","High value","259.92"
"18229","United Kingdom","7276.90","2011-11-28 09:48:00","20","High value","363.85"
"16923","United Kingdom","7247.61","2011-11-27 13:00:00","19","High value","381.45"
"16729","United Kingdom","7239.92","2011-11-01 14:29:00","21","High value","344.76"
"16745","United Kingdom","7194.30","2011-09-14 11:58:00","17","High value","423.19"
"16873","United Kingdom","7123.62","2011-12-05 12:05:00","6","High value","1187.27"
"13324","United Kingdom","7121.95","2011-11-03 16:28:00","10","High value","712.20"
"13985","United Kingdom","7060.13","2011-12-05 17:06:00","15","High value","470.68"
"14961","United Kingdom","7044.68","2011-11-29 09:42:00","9","High value","782.74"
"12766","Portugal","6989.63","2011-12-06 08:46:00","7","High value","998.52"
"12798","Japan","6977.04","2011-11-29 15:52:00","3","High value","2325.68"
"12989","United Kingdom","6924.11","2011-12-06 15:28:00","15","High value","461.61"
"16713","United Kingdom","6923.13","2011-11-21 12:36:00","15","High value","461.54"
"13027","United Kingdom","6912.00","2011-08-18 09:39:00","6","High value","1152.00"
"16187","United Kingdom","6911.44","2011-11-08 09:50:00","15","High value","460.76"
"17416","United Kingdom","6893.42","2011-11-10 12:47:00","7","High value","984.77"
"12705","Germany","6868.29","2011-11-24 13:17:00","9","High value","763.14"
"12476","Germany","6816.42","2011-11-24 12:40:00","11","High value","619.67"
"12830","United Kingdom","6814.64","2011-11-02 11:54:00","6","High value","1135.77"
"15023","United Kingdom","6802.76","2011-12-06 17:23:00","11","High value","618.43"
"18055","United Kingdom","6784.19","2011-12-02 14:25:00","10","High value","678.42"
"15601","United Kingdom","6776.56","2011-11-28 15:15:00","14","High value","484.04"
"16652","United Kingdom","6773.97","2011-10-12 09:38:00","7","High value","967.71"
"16532","United Kingdom","6748.80","2011-11-22 11:08:00","3","High value","2249.60"
"13576","United Kingdom","6717.34","2011-11-29 15:34:00","18","High value","373.19"
"16746","United Kingdom","6697.66","2011-12-05 12:33:00","18","High value","372.09"
"15249","United Kingdom","6688.46","2011-11-08 11:45:00","13","High value","514.50"
"16353","United Kingdom","6675.71","2011-12-06 12:23:00","23","High value","290.25"
"17338","United Kingdom","6643.93","2011-11-22 14:23:00","8","High value","830.49"
"12626","Germany","6620.48","2011-11-16 16:06:00","9","High value","735.61"
"16182","United Kingdom","6617.65","2011-09-28 13:23:00","4","High value","1654.41"
"15144","United Kingdom","6580.44","2011-12-01 15:12:00","17","High value","387.08"
"12472","Germany","6572.11","2011-11-07 14:01:00","7","High value","938.87"
"16814","United Kingdom","6509.10","2011-11-25 13:27:00","21","High value","309.96"
"18223","United Kingdom","6484.54","2011-12-05 09:11:00","14","High value","463.18"
"15694","United Kingdom","6479.40","2011-12-09 09:44:00","14","High value","462.81"
"13225","United Kingdom","6463.84","2011-12-06 13:29:00","7","High value","923.41"
"13102","United Kingdom","6424.09","2011-12-08 12:52:00","24","High value","267.67"
"13871","United Kingdom","6403.25","2011-11-17 10:49:00","13","High value","492.56"
"12359","Cyprus","6372.58","2011-10-13 12:47:00","4","High value","1593.15"
"13668","United Kingdom","6363.59","2011-12-07 12:11:00","21","High value","303.03"
"13709","United Kingdom","6328.05","2011-12-06 10:28:00","13","High value","486.77"
"15005","United Kingdom","6316.57","2011-11-24 12:25:00","28","High value","225.59"
"17315","United Kingdom","6292.26","2011-12-08 12:15:00","38","High value","165.59"
"16126","United Kingdom","6287.77","2011-11-10 16:03:00","4","High value","1571.94"
"14057","United Kingdom","6217.96","2011-11-16 10:32:00","17","High value","365.76"
"12357","Switzerland","6207.67","2011-11-06 16:07:00","1","High value","6207.67"
"14060","United Kingdom","6140.42","2011-12-05 12:29:00","19","High value","323.18"
"13418","United Kingdom","6127.43","2011-11-28 10:23:00","18","High value","340.41"
"17509","United Kingdom","6115.14","2011-10-13 10:26:00","8","High value","764.39"
"15939","United Kingdom","6115.01","2011-09-11 11:30:00","15","High value","407.67"
"14735","United Kingdom","6065.69","2011-12-06 12:09:00","32","High value","189.55"
"12637","France","6021.90","2011-10-03 13:46:00","8","High value","752.74"
"13097","United Kingdom","6010.42","2011-11-07 10:43:00","10","High value","601.04"
"13316","United Kingdom","5977.73","2011-11-02 13:40:00","4","High value","1494.43"
"14101","United Kingdom","5976.79","2011-09-27 12:28:00","6","High value","996.13"
"15382","United Kingdom","5955.71","2011-11-25 10:58:00","6","High value","992.62"
"14505","United Kingdom","5905.64","2011-11-22 15:45:00","8","High value","738.21"
"14415","United Kingdom","5900.28","2011-12-08 14:38:00","13","High value","453.87"
"14944","United Kingdom","5900.25","2011-11-10 09:10:00","12","High value","491.69"
"13209","United Kingdom","5891.61","2011-11-09 13:54:00","8","High value","736.45"
"13534","United Kingdom","5870.08","2011-12-07 14:52:00","25","High value","234.80"
"13050","United Kingdom","5836.86","2011-11-25 09:18:00","17","High value","343.34"
"12720","Germany","5781.73","2011-12-07 08:03:00","25","High value","231.27"
"15218","United Kingdom","5756.89","2011-11-29 11:48:00","11","High value","523.35"
"17686","United Kingdom","5739.46","2011-12-02 15:39:00","7","High value","819.92"
"13178","United Kingdom","5725.47","2011-11-13 16:14:00","11","High value","520.50"
"16553","United Kingdom","5719.82","2011-06-29 15:42:00","12","High value","476.65"
"13468","United Kingdom","5704.97","2011-12-08 10:39:00","37","High value","154.19"
"14110","United Kingdom","5683.15","2011-12-06 12:26:00","12","High value","473.60"
"14049","United Kingdom","5681.72","2011-11-23 12:20:00","4","High value","1420.43"
"17049","United Kingdom","5659.98","2011-12-07 10:48:00","9","High value","628.89"
"17716","United Kingdom","5655.99","2011-11-17 12:00:00","11","High value","514.18"
"13004","United Kingdom","5655.91","2011-11-28 11:27:00","18","High value","314.22"
"18118","United Kingdom","5653.82","2011-11-29 11:32:00","26","High value","217.45"
"14688","United Kingdom","5630.87","2011-12-02 12:26:00","21","High value","268.14"
"17757","United Kingdom","5605.29","2011-12-08 15:31:00","30","High value","186.84"
"12481","Germany","5596.32","2011-11-17 08:29:00","10","High value","559.63"
"12839","United Kingdom","5591.42","2011-12-07 12:33:00","14","High value","399.39"
"16767","United Kingdom","5580.60","2011-11-09 09:42:00","11","High value","507.33"
"16161","United Kingdom","5575.56","2011-12-08 12:10:00","19","High value","293.45"
"12539","Spain","5568.35","2011-11-17 13:30:00","4","High value","1392.09"
"15805","United Kingdom","5528.48","2011-11-16 16:32:00","17","High value","325.20"
"12431","Australia","5514.67","2011-11-04 11:55:00","13","High value","424.21"
"18225","United Kingdom","5509.12","2011-12-06 13:27:00","12","High value","459.09"
"16609","United Kingdom","5493.46","2011-11-24 13:32:00","7","High value","784.78"
"16985","United Kingdom","5464.12","2011-11-22 13:33:00","10","High value","546.41"
"16265","United Kingdom","5447.00","2011-11-30 16:41:00","9","High value","605.22"
"18198","United Kingdom","5425.56","2011-12-05 14:49:00","17","High value","319.15"
"12490","France","5417.93","2011-12-04 16:07:00","10","High value","541.79"
"17809","United Kingdom","5411.91","2011-11-23 12:59:00","12","High value","450.99"
"16701","United Kingdom","5398.30","2011-12-01 11:10:00","13","High value","415.25"
"17719","United Kingdom","5396.04","2011-11-02 10:36:00","15","High value","359.74"
"17850","United Kingdom","5391.21","2010-12-02 15:27:00","34","High value","158.57"
"16303","United Kingdom","5360.63","2011-11-14 10:49:00","3","High value","1786.88"
"13269","United Kingdom","5346.23","2011-12-08 14:53:00","15","High value","356.42"
"15150","United Kingdom","5314.47","2011-11-22 12:52:00","10","High value","531.45"
"17730","United Kingdom","5298.48","2011-12-06 15:43:00","13","High value","407.58"
"17061","United Kingdom","5232.23","2011-09-27 11:24:00","11","High value","475.66"
"18226","United Kingdom","5228.05","2011-10-26 13:36:00","11","High value","475.28"
"12362","Belgium","5226.23","2011-12-06 15:40:00","10","High value","522.62"
"15046","United Kingdom","5213.77","2011-11-30 15:50:00","15","High value","347.58"
"16258","United Kingdom","5203.51","2011-10-25 13:30:00","5","High value","1040.70"
"13756","United Kingdom","5189.52","2011-12-07 16:44:00","14","High value","370.68"
"16191","United Kingdom","5180.52","2011-12-07 11:26:00","13","High value","398.50"
"15727","United Kingdom","5178.96","2011-11-23 12:36:00","7","High value","739.85"
"17858","United Kingdom","5155.66","2011-12-04 11:56:00","12","High value","429.64"
"13599","United Kingdom","5153.67","2011-12-08 16:10:00","21","High value","245.41"
"15903","United Kingdom","5126.76","2011-11-30 08:08:00","7","High value","732.39"
"13941","United Kingdom","5112.96","2011-11-18 09:43:00","5","High value","1022.59"
"17602","United Kingdom","5102.97","2011-12-07 13:53:00","6","High value","850.50"
"16700","United Kingdom","5076.55","2011-12-01 11:00:00","13","High value","390.50"
"14562","United Kingdom","5074.77","2011-12-06 11:05:00","18","High value","281.93"
"15301","United Kingdom","5070.35","2011-10-20 09:57:00","12","High value","422.53"
"13139","United Kingdom","5064.94","2011-11-23 13:54:00","7","High value","723.56"
"12432","Norway","5059.32","2011-10-28 11:43:00","5","High value","1011.86"
"15719","United Kingdom","5045.61","2011-11-07 12:29:00","13","High value","388.12"
"17426","United Kingdom","5037.26","2011-12-01 18:07:00","6","High value","839.54"
"14329","United Kingdom","5014.84","2011-11-22 15:50:00","7","High value","716.41"
"14755","United Kingdom","5010.28","2011-11-30 11:24:00","11","High value","455.48"
"12444","Norway","5005.46","2011-11-18 13:23:00","5","High value","1001.09"
"15032","United Kingdom","4959.10","2011-03-28 15:03:00","3","High value","1653.03"
"15547","United Kingdom","4954.84","2011-12-02 12:52:00","14","High value","353.92"
"12437","France","4951.41","2011-12-08 11:35:00","18","High value","275.08"
"12700","France","4939.99","2011-12-02 10:47:00","4","High value","1235.00"
"15786","United Kingdom","4932.20","2011-10-24 14:13:00","3","High value","1644.07"
"14709","United Kingdom","4921.04","2011-11-24 15:41:00","13","High value","378.54"
"17133","United Kingdom","4892.24","2011-11-24 12:27:00","7","High value","698.89"
"12664","Finland","4881.88","2011-12-01 17:07:00","9","High value","542.43"
"12688","Israel","4873.81","2011-08-18 08:49:00","1","High value","4873.81"
"14292","United Kingdom","4871.93","2011-12-02 11:50:00","9","High value","541.33"
"17652","United Kingdom","4867.72","2011-11-14 12:55:00","12","High value","405.64"
"15738","United Kingdom","4812.42","2011-11-21 08:26:00","16","High value","300.78"
"13013","United Kingdom","4810.94","2011-12-08 15:01:00","13","High value","370.07"
"15555","United Kingdom","4805.17","2011-11-27 16:19:00","16","High value","300.32"
"17365","United Kingdom","4801.56","2011-11-27 12:13:00","8","High value","600.20"
"15298","United Kingdom","4799.90","2011-12-07 17:17:00","12","High value","399.99"
"15187","United Kingdom","4777.18","2011-12-08 11:56:00","16","High value","298.57"
"17690","United Kingdom","4757.95","2011-11-09 15:17:00","15","High value","317.20"
"12955","United Kingdom","4757.16","2011-12-08 16:29:00","11","High value","432.47"
"14180","United Kingdom","4748.52","2011-11-29 10:56:00","25","High value","189.94"
"15152","United Kingdom","4745.69","2011-11-30 12:32:00","13","High value","365.05"
"16722","United Kingdom","4730.81","2011-11-22 13:28:00","13","High value","363.91"
"12714","France","4708.86","2011-11-30 15:43:00","5","High value","941.77"
"14159","United Kingdom","4693.01","2011-11-20 12:36:00","11","High value","426.64"
"14135","United Kingdom","4690.31","2011-12-08 11:38:00","15","High value","312.69"
"14191","United Kingdom","4684.76","2011-12-08 09:23:00","13","High value","360.37"
"15291","United Kingdom","4668.30","2011-11-14 11:02:00","15","High value","311.22"
"14189","United Kingdom","4654.08","2011-12-07 15:55:00","15","High value","310.27"
"14390","United Kingdom","4652.82","2011-11-29 13:49:00","9","High value","516.98"
"14286","United Kingdom","4628.75","2011-11-16 10:34:00","3","High value","1542.92"
"16931","United Kingdom","4604.22","2011-12-04 13:15:00","21","High value","219.25"
"13802","United Kingdom","4599.42","2011-07-24 10:54:00","3","High value","1533.14"
"15093","United Kingdom","4597.02","2011-11-21 13:09:00","6","High value","766.17"
"14004","United Kingdom","4582.64","2011-10-27 14:40:00","7","High value","654.66"
"17613","United Kingdom","4559.15","2011-11-17 10:51:00","14","High value","325.65"
"17068","United Kingdom","4552.14","2011-11-27 13:14:00","21","High value","216.77"
"12484","Spain","4541.72","2011-11-07 11:37:00","6","High value","756.95"
"13267","United Kingdom","4521.49","2011-12-07 11:12:00","19","High value","237.97"
"15299","United Kingdom","4507.01","2011-10-03 14:19:00","7","High value","643.86"
"17975","United Kingdom","4488.81","2011-11-24 13:27:00","13","High value","345.29"
"12524","Germany","4485.72","2011-11-30 15:31:00","8","High value","560.72"
"14426","United Kingdom","4481.67","2011-11-16 12:25:00","10","High value","448.17"
"16984","United Kingdom","4481.35","2011-09-12 13:43:00","2","High value","2240.68"
"17364","United Kingdom","4481.18","2011-12-09 09:00:00","11","High value","407.38"
"12627","Germany","4478.53","2011-11-29 12:07:00","7","High value","639.79"
"14085","United Kingdom","4448.54","2011-12-07 13:46:00","18","High value","247.14"
"14534","United Kingdom","4447.05","2011-12-07 12:19:00","18","High value","247.06"
"13069","United Kingdom","4436.12","2011-12-09 08:39:00","24","High value","184.84"
"15955","United Kingdom","4416.26","2011-11-15 14:15:00","14","High value","315.45"
"16626","United Kingdom","4413.10","2011-12-09 11:56:00","17","High value","259.59"
"15874","United Kingdom","4405.88","2011-10-07 12:31:00","7","High value","629.41"
"12712","Germany","4396.13","2011-11-11 08:19:00","13","High value","338.16"
"13505","Switzerland","4393.63","2011-09-28 11:56:00","4","High value","1098.41"
"12752","Norway","4366.78","2011-09-19 13:32:00","1","High value","4366.78"
"16945","United Kingdom","4345.50","2011-11-18 11:39:00","19","High value","228.71"
"14016","EIRE","4341.21","2011-07-01 11:29:00","4","High value","1085.30"
"14800","United Kingdom","4339.74","2011-10-23 12:46:00","12","High value","361.65"
"14525","United Kingdom","4332.20","2011-11-20 11:37:00","9","High value","481.36"
"17567","United Kingdom","4331.48","2011-12-02 15:48:00","8","High value","541.44"
"18251","United Kingdom","4314.72","2011-09-13 15:03:00","1","High value","4314.72"
"12347","Iceland","4310.00","2011-12-07 15:52:00","7","High value","615.71"
"15034","United Kingdom","4308.61","2011-11-24 12:11:00","8","High value","538.58"
"17937","United Kingdom","4301.22","2011-12-01 11:45:00","7","High value","614.46"
"14422","United Kingdom","4263.64","2011-12-09 11:26:00","6","High value","710.61"
"12500","Germany","4257.82","2011-11-16 16:20:00","11","High value","387.07"
"17419","United Kingdom","4226.57","2011-11-28 13:47:00","12","High value","352.21"
"14277","France","4216.20","2011-11-24 15:01:00","3","High value","1405.40"
"15804","United Kingdom","4206.39","2011-12-09 12:31:00","13","High value","323.57"
"17920","United Kingdom","4204.10","2011-12-05 14:29:00","17","High value","247.30"
"15971","United Kingdom","4199.85","2011-11-22 12:50:00","12","High value","349.99"
"12747","United Kingdom","4196.01","2011-12-07 14:34:00","11","High value","381.46"
"14146","United Kingdom","4191.00","2011-12-01 10:18:00","5","High value","838.20"
"18041","United Kingdom","4183.39","2011-11-28 11:39:00","21","High value","199.21"
"12949","United Kingdom","4167.22","2011-11-09 11:25:00","8","High value","520.90"
"15570","United Kingdom","4165.52","2011-12-02 14:47:00","12","High value","347.13"
"16549","United Kingdom","4154.64","2011-11-29 15:06:00","10","High value","415.46"
"13384","United Kingdom","4151.93","2011-11-09 11:04:00","7","High value","593.13"
"13555","United Kingdom","4149.28","2011-09-27 12:36:00","4","High value","1037.32"
"13988","United Kingdom","4147.96","2011-11-20 10:15:00","6","High value","691.33"
"15514","United Kingdom","4139.46","2011-11-27 14:40:00","11","High value","376.31"
"12569","Germany","4124.69","2011-12-07 16:24:00","32","High value","128.90"
"16592","United Kingdom","4113.68","2011-12-05 13:49:00","16","High value","257.11"
"17940","United Kingdom","4106.44","2011-10-21 13:27:00","10","High value","410.64"
"17377","United Kingdom","4100.92","2011-11-16 11:17:00","20","High value","205.05"
